OBJID RA DEC
587730775499866263 00:04:28.27 +15:58:54.0
587727222487777443 00:04:28.36 +15:10:42.4
587727226764329181 00:04:28.68 -09:41:22.7
587730773889253467 00:04:29.83 +14:34:39.7
587727220877164747 00:04:30.68 +14:02:12.5
587730774426124516 00:04:31.25 +15:07:20.0
588015510343581859 00:04:32.43 +00:54:31.5
587727180597428330 00:04:34.27 -09:03:09.3
587727222487777462 00:04:34.75 +15:12:50.1
587730775499866289 00:04:38.46 +15:49:00.3
587727180060557466 00:04:40.43 -09:25:35.1
587730773352382555 00:04:40.75 +14:14:07.6
587727225153781852 00:04:43.96 -10:52:04.4
587727223024648469 00:04:44.69 +15:47:03.0
587727226227523634 00:04:44.79 -10:07:24.7
587727223024648468 00:04:45.24 +15:38:52.4
587727223561519292 00:04:45.61 +16:12:19.0
587731187278151924 00:04:46.29 +00:42:05.9
587727223561519298 00:04:47.27 +16:10:01.0
587727225153781857 00:04:48.21 -10:50:32.7
587731186204410080 00:04:48.71 -00:01:43.5
587730775499866323 00:04:49.59 +15:51:14.7
587730773889253515 00:04:51.90 +14:36:15.6
587731186741346415 00:04:52.36 +00:21:06.2
587727227838136451 00:04:54.03 -08:53:40.7
587727180597493849 00:04:56.24 -08:57:12.4
587730775499931810 00:04:58.10 +15:49:59.1
588015509806776475 00:05:00.04 +00:25:25.3
587727221950972110 00:05:04.35 +14:46:30.2
587727180597493864 00:05:04.48 -09:04:03.9
588015509806776498 00:05:05.45 +00:27:45.6
588015510343647429 00:05:07.99 +00:57:34.3
587727225153847368 00:05:10.88 -10:51:03.7
587727223024713915 00:05:12.08 +15:44:35.6
587730775499931864 00:05:13.61 +15:51:49.4
588015508196229126 00:05:15.40 -00:38:34.9
587730775499931875 00:05:16.10 +15:54:12.3
588015508196229196 00:05:16.32 -00:47:04.2
587730774426190046 00:05:17.30 +15:08:55.5
588015509806841955 00:05:18.59 +00:27:55.7
587727223561584896 00:05:18.92 +16:04:24.1
587731186204475676 00:05:19.41 -00:05:24.7
588015510343712886 00:05:20.55 +00:56:43.9
588015510343712891 00:05:21.95 +01:01:05.9
587730775499931916 00:05:26.24 +15:58:26.3
587727223561584944 00:05:26.32 +16:05:04.0
587730772815577232 00:05:27.04 +13:48:49.6
587730774963060905 00:05:27.84 +15:24:50.2
587730775499931918 00:05:28.34 +15:59:42.4
587731185667670129 00:05:28.58 -00:28:48.6
587731185667670135 00:05:30.31 -00:27:47.8
587727179523817590 00:05:30.43 -09:57:01.2
587727226764460180 00:05:31.73 -09:35:01.3
587727177913204797 00:05:32.52 -11:09:08.0
587731185130799290 00:05:35.89 -00:55:20.3
588015509806841982 00:05:37.74 +00:32:58.2
587727226227589257 00:05:38.32 -10:02:20.4
587727223024779443 00:05:38.62 +15:39:03.1
587727227301331105 00:05:41.01 -09:20:14.2
588015508196229237 00:05:42.35 -00:50:11.8
587727177913204856 00:05:42.53 -11:10:48.9
587727223024779464 00:05:42.77 +15:41:03.9
587730773889384611 00:05:42.93 +14:40:19.0
587727223024779496 00:05:48.59 +15:36:33.1
587730773889384632 00:05:48.93 +14:33:40.1
587727180060688540 00:05:49.16 -09:32:37.3
587727223561650376 00:05:49.36 +16:01:53.7
587727180060688546 00:05:50.53 -09:30:01.0
587727223024779503 00:05:50.86 +15:39:44.1
588015508196294786 00:05:51.91 -00:44:06.8
587727223024779650 00:05:55.92 +15:37:57.0
587727223561650401 00:05:56.16 +16:08:04.2
587727226227654787 00:05:57.16 -10:05:58.3
587731187815153828 00:05:58.12 +01:03:39.7
587727178450141263 00:05:58.83 -10:41:05.0
587727227301396575 00:05:58.86 -09:11:34.1
587727223024779543 00:06:00.39 +15:40:39.6
587727179523883121 00:06:01.85 -09:55:03.1
587727223024779552 00:06:02.25 +15:41:59.9
587730775499997427 00:06:02.31 +15:59:30.4
587727221414166687 00:06:02.39 +14:25:02.9
